Super-Bright LED Flashlight,contact@surpax.net
Inbox by Gmail,apps-help@google.com
Emoji Keyboard Pro - Emoticons,keyboardcontact@gmail.com
Microsoft Outlook,use-in-app-support@noreply.com
DU Battery Saver丨Power Doctor,feedback@duapps.com
Google Docs,apps-help@google.com
Emoji Keyboard-Cute & Colorful,kkemojiandroid@gmail.com
CM Locker (Lock Screen),cmlocker@cmcm.com
Adobe Acrobat Reader,adobereader-android@adobe.com
Dropbox,android-feedback@dropbox.com
ColorNote Notepad Notes,notesupport@socialnmobile.com
Google Calendar,apps-help@google.com
ES File Explorer File Manager,contact@estrongs.com
Microsoft Office Mobile,omaonfb@microsoft.com
Google Slides,apps-help@google.com
Google Sheets,apps-help@google.com
SwiftKey Keyboard + Emoji,android-support@swiftkey.com
Evernote,appstore-evernote-android@evernote.com
Google Keep - notes and lists,apps-help@google.com
AT&T Mobile Transfer,AT&TMobileTransferCustomerFeedback@att.com
OneDrive – cloud storage,onedrive@microsoft.com
CamScanner -Phone PDF Creator,android_support@intsig.com
Alarm Clock Xtreme Free +Timer,mobile-support@avg.com
HP All-in-One Printer Remote,cloud_services_support@hp.com
Office Lens,olensandsup@microsoft.com
AVG Cleaner & Battery Saver,mobile-support@avg.com
QR Droid Code Scanner,info@droid.la
Microsoft Word,offandro@microsoft.com
Google PDF Viewer,google-drive-help@google.com
MEGA v2,android@mega.co.nz
4shared Premium,cyber4shared.com@gmail.com
Microsoft account,WS-MSACLIENT-AFB@microsoft.com
Security & Antivirus - FREE,IS6106_61279@is.instantservice.com
Advanced Task Killer,rechild.support@gmail.com
myAT&T,g41808@att.com
Booster for Android - FREE,android@NQ.com
Fleksy + GIF Keyboard Free,support+android@fleksy.com
ai.type keyboard Free + Emoji,Support@AItype.com
OnStar RemoteLink,apps@gm.com
OneNote,omaonfb@microsoft.com
GO Keyboard Lab + Emoji,goforkeyboard@gmail.com
Dream Colors Go Keyboard Theme,goforkeyboard@gmail.com
Prezi,androidfeedback@prezi.com
Mobile Location Tracker,sureshkumar996633@gmail.com
Google Goggles,apps-help@google.com
HP Print Service Plugin,cloud_services_support@hp.com
Takatap,contact@takatap.com
Mobizen-Your Android, Anywhere,mobizenhelp@rsupport.com
Google Drive,google-drive-help@google.com
Unit Converter,androidboy1@gmail.com
Skyvi (Siri like Assistant),developer@bluetornadosf.com
Advanced Task Manager - Boost,support@infolife.mobi
RealCalc Scientific Calculator,support@quartic-software.co.uk
Pushbullet,hey@pushbullet.com
Microsoft Excel,offandro@microsoft.com
Verizon Cloud,VerizonCloud@VerizonWireless.com
CM GameBooster,cmplayfeedback@conew.com
Root Browser,jrummy.apps@gmail.com
Tablet AntiVirus Security FREE,mobile-support@avg.com
Wunderlist: To-Do List & Tasks,support@wunderlist.com
HotSchedules,support@hotschedules.com
Swype Keyboard,support@nuancemobility.zendesk.com
Fleksy + GIF Keyboard,support+android@fleksy.com
ai.type keyboard Plus + Emoji,support@aitype.com
DU Battery Saver PRO & Widgets,feedback@duapps.com
CamScanner (License),android_support@intsig.com
Root Explorer,support@speedsoftware.co.uk
Toolbox Pro Key Manager,Support@aiotoolbox.com
IP Cam Viewer Pro,robert.chou@gmail.com
Calendar Widget (key),calendar@itbenefit.com
mydlink+,nbdd.dlink@gmail.com
aCalendar+ Calendar & Tasks,support@tapirapps.de
LookBehind for Android Wear,contact@pixtogram.com
Jarvis PRO - Voice assistant,apps@itsmylab.com
Memory Booster (Full Version),Support@downloadandroid.info
RealCalc Plus,support@quartic-software.co.uk
Call Recorder License - ACR,acr@nllapps.com
Easy Voice Recorder Pro,support@digipom.com
DigiCal+ Calendar & Widgets,digical@digibites.nl
SmoothSync for Cloud Calendar,support@dmfs.org
ownCloud,apps@owncloud.com
A+ VCE Classic,feedback@on-labs.com
Aqua Mail Pro Key,kmansoft@gmail.com
Tiny Scan Pro: PDF Scanner,tinyscan.a@appxy.com
AutoVoice Pro Unlock,support@joaoapps.com
JuiceDefender Ultimate,support@latedroid.com
Calculator Plus,CalculatorPlus@digitalchemy.us
aWallet Cloud Password Manager,info.cloud@awallet.org
File Transfer Pro,support@delitestudio.com
ezPDF Reader - Multimedia PDF,android@unidocs.com
Planner Plus - Daily Schedule,planner.a@appxy.com
Work Log Pro,ARforAndroid+WorkLog@gmail.com
Tasks,tasks.android@gmail.com
Coolors,feedback@coolors.co
CalenGoo - Calendar and Tasks,android@calengoo.com
FlashFox Pro - Flash Browser,support@mobius.pk
Big Buttons Keyboard Deluxe,bbd@chicagologic.com
SafeInCloud Password Manager,support@safe-in-cloud.com
Solid Explorer Unlocker,solid.explorer@gmail.com
AGK Fire (Ad free),agk4444@gmail.com
Notepad+,support@apalon.com
Business Calendar Pro,support@businesscalendar.de
